ons_code,pc_no_ed,pc_elem_ed,pc_losec_ed,pc_upsec_ed,pc_degree,pc_other_ed,con_name_gb,total_area,pc_green_belt,pc_employed,pc_unemp,pc_student,pc_retired,pc_carer,pc_sick_disabled,pc_emp_other,pc_ns_prof_man,pc_ns_inter,pc_ns_routine,pc_never_worked,id_british,id_welsh,id_english,id_other_uk,id_non_uk,dist_under_5,dist_5_10,dist_10_30,dist_30_60,dist_over_60,dist_wfh,dist_na,av_dist,pc_trav_wfh,pc_trav_pubtrans,pc_trav_car,pc_trav_other
E14001063,0.176655063191896,0.118616782178735,0.143903994313252,0.173843049936756,0.299432370558535,0.0875487398208256,Aldershot,5710,0,0.6362362927420788,0.0257367161121042,0.05095075318050198,0.1828749438120028,0.04147980890854162,0.02797378241916768,0.03474770282560291,0.34113170466543313,0.23198586675865815,0.29966234933776564,0.07840185655596324,0.532393766499191,0.00584177808055863,0.3006471940730648,0.01222856169632972,0.14888869965085583,0.2463928967813541,0.11187247663626566,0.143656806446943,0.04011645675497434,0.01211214592481783,0.2972060029918448,0.1486432144638003,7.102374173623511,0.2972012224545601,0.04780440727038765,0.5029757117580826,0.1520186585169696
E14001064,0.219354671032968,0.106376619495016,0.142567541226463,0.172325965199537,0.27151638012813,0.0878588229178849,Aldridge-Brownhills,5320,57.7,0.5502651003222788,0.02491163322590706,0.05426759538413556,0.2679592473230065,0.03998596527705583,0.03853051252728974,0.02407994594032643,0.31342507764479616,0.23199875248528323,0.3237430639481242,0.07802164957831403,0.5535376627816295,0.00304464409712948,0.4043928338692619,0.00423045285074834,0.03479440640123068,0.19118532586039183,0.1896799295937746,0.19470563713001993,0.01966279123627773,0.00954189633609708,0.23711149196349993,0.15811292787993886,7.442852841724953,0.2371224754493237,0.04252362423568649,0.6103390772651474,0.1100148230498425
E14001065,0.114933413891197,0.0717846084132618,0.122322080406817,0.14119024242882,0.486556906578053,0.0632127482818518,Altrincham and Sale West,5090,51.1,0.5891497262256907,0.02191453206620932,0.06383032286487507,0.2325885832966203,0.04170180628107495,0.02716344640946566,0.02365158285606394,0.48120641474283127,0.21768082374562575,0.1773872762518567,0.06202009012864731,0.6228250961119258,0.00574689865641472,0.2648329436011256,0.01291070508501446,0.0936843565455194,0.19394980517031885,0.1063392969371936,0.1300749989525286,0.01996480496082457,0.00911300121506682,0.44810826664432063,0.09244982611974692,5.511375539447773,0.4480988792290772,0.03619985335707552,0.4077511260081701,0.10795014140567716
E14001066,0.216867309256223,0.113813009105574,0.148195549867349,0.183857937047554,0.243237478169286,0.0940287165540135,Amber Valley,12480,55.3,0.5608569295579374,0.02183650615901455,0.04213992427878206,0.2579054018023783,0.04239321708526636,0.04964539007092199,0.02522263104569935,0.2769037969283277,0.2109375,0.3958911049488055,0.07597856228668942,0.5335023582294458,0.00254644494143176,0.42983990611368217,0.00659861384823188,0.02751267686720843,0.2495564892623716,0.13968253968253969,0.219187675070028,0.01858076563958917,0.01258169934640523,0.21351540616246495,0.1468954248366013,7.897934173669468,0.21352039029855976,0.03053292560517285,0.6128994607717267,0.14304722332454073
E14001067,0.141281082205017,0.0906199929059798,0.149769444342519,0.169412541738524,0.374466419599066,0.0744505192088944,Arundel and South Downs,83440,0,0.5338674168297456,0.01789383561643835,0.04811643835616438,0.31345401174168297,0.0423679060665362,0.0224192759295499,0.02188111545988258,0.4157065629510041,0.2787358430566767,0.20784716616521123,0.05202905995450209,0.5927019768052111,0.00552599895036891,0.33902055013017485,0.01130926042170472,0.05144221369254041,0.1016279330863366,0.08754911867070843,0.19178174469518355,0.04553721791849107,0.01583024587403166,0.394004715392388,0.16366902436286068,8.061917592904456,0.394004715392388,0.01993937352643987,0.4835747165151005,0.10248119456607165
E14001068,0.244092963202066,0.120064557779212,0.159935442220788,0.175403486120077,0.208211749515817,0.09229180116204,Ashfield,9930,38.7,0.5516462233699161,0.0257843770174306,0.04566817301484829,0.24139444803098772,0.04894770819883796,0.05941897998708844,0.02714009038089089,0.2382827630729503,0.20040025823111685,0.4274370561652679,0.08955455132343447,0.5313568865174334,0.00229427798650796,0.41425399130700175,0.00581988865384817,0.04627495553520874,0.31758789354031275,0.15739316141180792,0.16345557673318484,0.02542080969986451,0.01382414402829127,0.17461593221117414,0.14770248237536454,7.4933979378602436,0.17461593221117414,0.03538705306909776,0.629756355202425,0.16024065951730315
E14001069,0.173632303903663,0.117109898785187,0.156122965982868,0.175270122188314,0.293782181951007,0.0840825271889618,Ashford,22620,0,0.6009991516636818,0.02579178056367235,0.05778112922989914,0.20083184088981057,0.05058205297389009,0.03512348006409652,0.02889056461494957,0.33291701523488587,0.2337429746320887,0.304061457977401,0.07357047754827915,0.5599722887956861,0.00289282504493708,0.3251011084481726,0.00739589574595566,0.10463788196524865,0.301715226463494,0.04973391018032849,0.1352463723726023,0.04270837321490103,0.03409395459244228,0.2776139974731039,0.158888165703128,8.481613002029174,0.2776139974731039,0.05023163214518167,0.5148550863356177,0.15729928404609672
E14001070,0.233741551396458,0.118009842544461,0.148443694855949,0.167864469924859,0.235025361543593,0.0969150797346792,Ashton-under-Lyne,2910,24.3,0.5499364388113428,0.03266164050798605,0.06387584800694768,0.19929264578167677,0.05726800166140137,0.06032649054133995,0.03663893468930536,0.24369737322374796,0.2230053743816944,0.3585480358963386,0.11371788901335414,0.5716856089003508,0.00170929918733319,0.32216791115642585,0.00611749182835037,0.09831968892753971,0.31323253109063254,0.1698353762190212,0.1133354209537443,0.0141809072201843,0.00847723002594614,0.23092064060123468,0.15001789388923684,5.63987429542811,0.23092064060123468,0.0910575288538964,0.5020130625391429,0.17600876800572604
E14001071,0.156639516582995,0.106149551391777,0.142382850643905,0.168897262398474,0.346249727158891,0.0796810918239572,Aylesbury,19650,14.5,0.6284076418486565,0.02451549163095798,0.05586637104093191,0.18531368111480004,0.04869782990798074,0.02760577618987443,0.02959320826679839,0.3700057438253877,0.24290637564618037,0.2679035037334865,0.06553704767375072,0.5787420636733203,0.00401041428767185,0.2899191522404421,0.00969259580687891,0.11763577399168684,0.2282301106852455,0.05269190815632052,0.15915033850342086,0.06716337715370563,0.01022674356127091,0.3312497761220762,0.1512877458179604,7.989262814772362,0.3312319787954224,0.03141286243888461,0.4800759353117109,0.15727922345398213
E14001072,0.169655055677133,0.102552321996397,0.139065881584834,0.158241545660085,0.348220870763762,0.0822643243177889,Banbury,51260,0,0.6155678342139308,0.02163005235222285,0.05027264263864876,0.21792066159668236,0.04110798099360408,0.0290778512616523,0.02442297694325889,0.35187648111428155,0.22892585965081977,0.3160637423223872,0.05471054795183053,0.5484010541635527,0.00676552727844864,0.30953270660425597,0.01212484757896393,0.12317586437477876,0.27852614133472087,0.05469156501127363,0.14293422751536874,0.05900830587192384,0.01903991058179646,0.31350330500472146,0.13229654468019503,8.14375325200902,0.3134972635473676,0.02495567717567255,0.4732906806444153,0.18825637863254452
