bc_name,pa_name,ons_code,PANO,region_name,country_name,constituency_type,index_of_change,turnout_19,electorate,total_votes,majority,maj_pc,Win19,Second19,con_19,lab_19,lib_19,green_19,bxp_19,snp_19,pc_19,other_19,gss_code,Leave.preds,Remain.preds,leave_hanretty,remain_hanretty
Aberafan Maesteg,Aberafan Maesteg,W07000081,1,WA,Wales,County,69.2,63.6,69817,44423,13457,30.29,Lab,Con,22.63,52.92,3.7,1.58,8.54,0,8.98,1.65,W07000081,29213.53265,18330.75856,61.44487994,38.55512006
Aberdeen North,Aberdeen North,S14000060,2,SC,Scotland,Borough,61.3,65.2,76895,50127,14210,28.35,SNP,Con,24.55,11.98,7.73,1.22,1.62,52.9,0,0,S14000060,22093.87764,28180.97057,43.94618468,56.05381532
Aberdeen South,Aberdeen South,S14000061,3,SC,Scotland,Borough,21.1,65.5,76560,50118,5463,10.9,SNP,Con,34.36,8.77,10.69,0.53,0.39,45.26,0,0,S14000061,18635.12236,35804.02943,34.23110343,65.76889657
Aberdeenshire North and Moray East,Aberdeenshire North & Moray East,S14000062,4,SC,Scotland,County,48.9,64.2,71485,45891,2399,5.23,Con,SNP,48.32,4.17,4.42,0,0,43.09,0,0,S14000062,26491.73918,22164.08678,54.447208849999996,45.55279115
West Aberdeenshire and Kincardine,Aberdeenshire West & Kincardine,S14000058,5,SC,Scotland,County,NA,72.4,73634,53345,843,1.58,Con,SNP,42.65,4.56,11.72,0,0,41.07,0,0,S14000058,20939.05185,32635.0676,39.08426693,60.91573307
Airdrie and Shotts,Airdrie & Shotts,S14000063,6,SC,Scotland,County,10.8,65.8,70420,46338,5324,11.49,SNP,Lab,17.26,33.11,3.57,1.46,0,44.6,0,0,S14000063,16123.20734,24811.69291,39.38743527,60.612564729999995
Aldershot,Aldershot,E14001063,7,SE,England,Borough,6.6,67.5,76765,51828,17985,34.7,Con,Lab,56.83,22.13,17.5,3.55,0,0,0,0,E14001063,34073.95906,24810.04931,57.86623568,42.13376432
Aldridge-Brownhills,Aldridge-Brownhills,E14001064,8,WM,England,Borough,20.7,64.7,73122,47321,22758,48.09,Con,Lab,69.61,21.52,5.61,1.84,0.71,0,0,0.71,E14001064,36031.36254,17041.71901,67.89008945,32.109910549999995
Alloa and Grangemouth,Alloa & Grangemouth,S14000064,9,SC,Scotland,County,99.7,63.2,72265,45658,12727,27.87,SNP,Con,24.8,14.5,5.31,1.48,0.39,52.67,0,0.84,S14000064,20373.21253,25867.67031,44.05887449,55.94112551
Altrincham and Sale West,Altrincham & Sale West,E14001065,10,NW,England,Borough,NA,74.1,73934,54763,6139,11.21,Con,Lab,48.05,36.84,11.02,2.86,0,0,0,1.24,E14001065,22230.88594,35696.79373,38.376966010000004,61.623033989999996
Alyn and Deeside,Alyn & Deeside,W07000082,11,WA,Wales,County,20.1,69.2,75695,52350,411,0.79,Lab,Con,41.95,42.74,5.91,0,5.99,0,3.4,0,W07000082,32794.09741,21634.15626,60.25197429,39.74802571
Amber Valley,Amber Valley,E14001066,12,EM,England,County,0.1,64.6,70625,45609,16891,37.03,Con,Lab,63.84,26.81,6.3,3.05,0,0,0,0,E14001066,33506.42938,17827.99919,65.27087243,34.72912757
