Constituen,gss_code,Leave.preds,Remain.preds,LeavePct,RemainPct
Aberafan Maesteg,W07000081,29213.53265,18330.75856,0.6144487994,0.3855512006
Aberdeen North,S14000060,22093.87764,28180.97057,0.4394618468,0.5605381532
Aberdeen South,S14000061,18635.12236,35804.02943,0.3423110343,0.6576889657
Aberdeenshire North and Moray East,S14000062,26491.73918,22164.08678,0.5444720885,0.4555279115
Airdrie and Shotts,S14000063,16123.20734,24811.69291,0.3938743527,0.6061256473
Aldershot,E14001063,34073.95906,24810.04931,0.5786623568,0.4213376432
Aldridge-Brownhills,E14001064,36031.36254,17041.71901,0.6789008945,0.3210991055
Alloa and Grangemouth,S14000064,20373.21253,25867.67031,0.4405887449,0.5594112551
Altrincham and Sale West,E14001065,22230.88594,35696.79373,0.3837696601,0.6162303399
Alyn and Deeside,W07000082,32794.09741,21634.15626,0.6025197429,0.3974802571
Amber Valley,E14001066,33506.42938,17827.99919,0.6527087243,0.3472912757
Angus and Perthshire Glens,S14000065,23427.76842,28388.71956,0.4521296084,0.5478703916
Arbroath and Broughty Ferry,S14000066,18927.61397,32735.67455,0.3663648697,0.6336351303
"Argyll, Bute and South Lochaber",S14000067,20419.75493,31229.08752,0.3953574555,0.6046425445
Arundel and South Downs,E14001067,30197.78718,31750.60171,0.4874668692,0.5125331308
Ashfield,E14001068,35935.53564,14814.53979,0.7080883197,0.2919116803
Ashford,E14001069,32626.43194,20978.43489,0.6086468239,0.3913531761
Ashton-under-Lyne,E14001070,28651.86174,17139.63047,0.6257027312,0.3742972688
Aylesbury,E14001071,27528.17608,26470.524,0.5097933105,0.4902066895
"Ayr, Carrick and Cumnock",S14000006,20547.91878,26701.96181,0.434877687,0.565122313
Banbury,E14001072,24578.48193,26983.79022,0.4766756954,0.5233243046
Bangor Aberconwy,W07000083,23607.4024,26127.20936,0.4746674713,0.5253325287
Barking,E14001073,25723.03019,17343.5532,0.5972851377,0.4027148623
Barnsley North,E14001074,35913.4371,15903.1756,0.6930873175,0.3069126825
Barnsley South,E14001075,36678.83674,14734.22938,0.7134146921,0.2865853079
Barrow and Furness,E14001076,31347.40132,22199.07583,0.5854241584,0.4145758416
Basildon and Billericay,E14001077,36801.52708,18681.32426,0.6632955262,0.3367044738
Basingstoke,E14001078,31799.38924,25847.48423,0.5516238319,0.4483761681
Bassetlaw,E14001079,38259.22373,17308.83182,0.6885111122,0.3114888878
