objct_d,cnsttn_,dscrptn,ONSCnID,regn_nm,shp_lng,shape_r,prty_cl,wnnr_19
1,North Thanet,Westminster Constituency,E14000852,South East Euro Region,106798.877597,823157164.723,#0087DC,Conservative
2,Canterbury,Westminster Constituency,E14000619,South East Euro Region,106798.887591,823157318.737,#DC241F,Labour
3,South Thanet,Westminster Constituency,E14000948,South East Euro Region,106798.924488,823157887.505,#0087DC,Conservative
4,Norwich South,Westminster Constituency,E14000864,Eastern Euro Region,106799.371719,823164781.674,#DC241F,Labour
5,Great Yarmouth,Westminster Constituency,E14000717,Eastern Euro Region,106799.363204,823164650.419,#0087DC,Conservative
6,Maldon,Westminster Constituency,E14000806,Eastern Euro Region,106799.59594,823168238.068,#0087DC,Conservative
7,Southend West,Westminster Constituency,E14000957,Eastern Euro Region,106799.351851,823164475.412,#0087DC,Conservative
8,Rochford and Southend East,Westminster Constituency,E14000899,Eastern Euro Region,106799.12763,823161019.02,#0087DC,Conservative
9,Ashford,Westminster Constituency,E14000536,South East Euro Region,106799.110601,823160756.509,#0087DC,Conservative
10,Sittingbourne and Sheppey,Westminster Constituency,E14000927,South East Euro Region,106799.536336,823167319.28,#0087DC,Conservative
11,Dover,Westminster Constituency,E14000670,South East Euro Region,106799.22413,823162506.581,#0087DC,Conservative
12,Norwich North,Westminster Constituency,E14000863,Eastern Euro Region,106798.668377,823153939.603,#0087DC,Conservative
13,South Norfolk,Westminster Constituency,E14000941,Eastern Euro Region,106798.994774,823158971.032,#0087DC,Conservative
14,Waveney,Westminster Constituency,E14001022,Eastern Euro Region,106799.040187,823159671.057,#0087DC,Conservative
15,Rayleigh and Wickford,Westminster Constituency,E14000888,Eastern Euro Region,106799.281436,823163389.939,#0087DC,Conservative
16,Castle Point,Westminster Constituency,E14000622,Eastern Euro Region,106799.003292,823159102.286,#0087DC,Conservative
17,South Basildon and East Thurrock,Westminster Constituency,E14000933,Eastern Euro Region,106799.011803,823159233.542,#0087DC,Conservative
18,Rochester and Strood,Westminster Constituency,E14000898,South East Euro Region,106799.0487,823159802.312,#0087DC,Conservative
19,Gillingham and Rainham,Westminster Constituency,E14000711,South East Euro Region,106799.020318,823159364.796,#0087DC,Conservative
