Boundary Comm name,PA name,ONS code,PANO,region_name,country_name,constituency_type,Index_of_change,"""turnout""",electorate,total_votes,majority,maj+pc,Win19,Second19,con_pc,lab_pc,ld_pc,green_pc,bxp_pc,snp_pc,plaid_pc,other_pc
Aberafan Maesteg,Aberafan Maesteg,W07000081,1,WA,Wales,County,69.2,63.6,69817,44423,13457,30.29,Lab,Con,22.63,52.92,3.7,1.58,8.54,0,8.98,1.65
Aberdeen North,Aberdeen North,S14000060,2,SC,Scotland,Borough,61.3,65.2,76895,50127,14210,28.35,SNP,Con,24.55,11.98,7.73,1.22,1.62,52.9,0,0
Aberdeen South,Aberdeen South,S14000061,3,SC,Scotland,Borough,21.1,65.5,76560,50118,5463,10.9,SNP,Con,34.36,8.77,10.69,0.53,0.39,45.26,0,0
Aberdeenshire North and Moray East,Aberdeenshire North & Moray East,S14000062,4,SC,Scotland,County,48.9,64.2,71485,45891,2399,5.23,Con,SNP,48.32,4.17,4.42,0,0,43.09,0,0
West Aberdeenshire and Kincardine,Aberdeenshire West & Kincardine,S14000058,5,SC,Scotland,County,none,72.4,73634,53345,843,1.58,Con,SNP,42.65,4.56,11.72,0,0,41.07,0,0
Airdrie and Shotts,Airdrie & Shotts,S14000063,6,SC,Scotland,County,10.8,65.8,70420,46338,5324,11.49,SNP,Lab,17.26,33.11,3.57,1.46,0,44.6,0,0
Aldershot,Aldershot,E14001063,7,SE,England,Borough,6.6,67.5,76765,51828,17985,34.7,Con,Lab,56.83,22.13,17.5,3.55,0,0,0,0
Aldridge-Brownhills,Aldridge-Brownhills,E14001064,8,WM,England,Borough,20.7,64.7,73122,47321,22758,48.09,Con,Lab,69.61,21.52,5.61,1.84,0.71,0,0,0.71
Alloa and Grangemouth,Alloa & Grangemouth,S14000064,9,SC,Scotland,County,99.7,63.2,72265,45658,12727,27.87,SNP,Con,24.8,14.5,5.31,1.48,0.39,52.67,0,0.84
Altrincham and Sale West,Altrincham & Sale West,E14001065,10,NW,England,Borough,none,74.1,73934,54763,6139,11.21,Con,Lab,48.05,36.84,11.02,2.86,0,0,0,1.24
Alyn and Deeside,Alyn & Deeside,W07000082,11,WA,Wales,County,20.1,69.2,75695,52350,411,0.79,Lab,Con,41.95,42.74,5.91,0,5.99,0,3.4,0
Amber Valley,Amber Valley,E14001066,12,EM,England,County,0.1,64.6,70625,45609,16891,37.03,Con,Lab,63.84,26.81,6.3,3.05,0,0,0,0
Angus and Perthshire Glens,Angus & Perthshire Glens,S14000065,13,SC,Scotland,County,91.6,73.4,77006,56547,6005,10.62,SNP,Con,39.8,4.25,4.96,0,0.58,50.42,0,0
East Antrim,Antrim East,N05000005,14,NI,Northern Ireland,County,13.7,57.4,69936,40156,6395,15.93,DUP,All,2.51,,,1.71,,,,0
North Antrim,Antrim North,N05000012,15,NI,Northern Ireland,County,11.4,57.1,71165,40622,13765,33.89,DUP,UUP,0.04,,,0,,,,0.61
South Antrim,Antrim South,N05000014,16,NI,Northern Ireland,County,5.7,59.6,71646,42668,3036,7.12,DUP,UUP,0.04,,,0,,,,0.03
Arbroath and Broughty Ferry,Arbroath & Broughty Ferry,S14000066,17,SC,Scotland,County,56.8,67.9,76810,52124,10777,20.68,SNP,Con,30.26,10.21,8,0,0,50.94,0,0.6
"Argyll, Bute and South Lochaber","Argyll, Bute & South Lochaber",S14000067,18,SC,Scotland,County,6.1,70.7,71707,50727,4897,9.65,SNP,Con,34.51,7.08,14.14,0,0.11,44.16,0,0
Arundel and South Downs,Arundel & South Downs,E14001067,19,SE,England,County,57.8,75.5,76974,58105,24105,41.49,Con,LD,60.44,15.68,18.95,3.98,0,0,0,0.96
Ashfield,Ashfield,E14001068,20,EM,England,County,18,61.5,69819,42949,5303,12.35,Con,Other,39.2,25.58,2.07,1.31,4.98,0,0,26.86
Ashford,Ashford,E14001069,21,SE,England,County,54.7,66.1,73546,48579,17211,35.43,Con,Lab,59.2,23.77,10.65,4.6,0,0,0,1.77
Ashton-under-Lyne,Ashton-under-Lyne,E14001070,22,NW,England,Borough,50.9,57.2,72278,41377,4689,11.33,Lab,Con,36.2,47.53,4.29,3.48,8.5,0,0,0
Aylesbury,Aylesbury,E14001071,23,SE,England,County,54.3,76.5,75636,57888,16640,28.75,Con,Lab,51.69,22.95,21.89,2.94,0.53,0,0,0
"Ayr, Carrick and Cumnock","Ayr, Carrick & Cumnock",S14000006,24,SC,Scotland,County,none,64.7,72057,46592,2329,5,SNP,Con,38.51,13.35,4.63,0,0,43.51,0,0
Central Ayrshire,Ayrshire Central,S14000010,25,SC,Scotland,County,none,66.7,69779,46534,5304,11.4,SNP,Con,34.77,14.15,4.91,0,0,46.17,0,0
North Ayrshire and Arran,Ayrshire North & Arran,S14000048,26,SC,Scotland,County,none,65.4,73588,48154,8521,17.7,SNP,Con,30.85,13.92,4.38,2.31,0,48.54,0,0
Banbury,Banbury,E14001072,27,SE,England,County,55.2,72.6,69943,50810,13799,27.16,Con,Lab,51.95,24.79,20.34,2.91,0,0,0,0
Bangor Aberconwy,Bangor Aberconwy,W07000083,28,WA,Wales,County,57.1,68.7,70468,48407,749,1.55,Con,Lab,39.98,38.44,4.42,0,0.94,0,16.21,0
Barking,Barking,E14001073,29,GL,England,Borough,8.7,57.1,71822,41019,13993,34.11,Lab,Con,26.82,60.94,3.31,1.83,7.1,0,0,0
Barnsley North,Barnsley North,E14001074,30,YH,England,County,38.6,57.9,76794,44480,4002,8.9973,Lab,Brexit,23.97,38.54,3.57,2.36,29.54,0,0,2.02
Barnsley South,Barnsley South,E14001075,31,YH,England,County,61.4,49.4,75896,"37,508","4,720",12.584,Lab,Brexit,22.65,41.82,3.5,2.06,29.23,0,0,0.74
Barrow and Furness,Barrow & Furness,E14001076,32,NW,England,County,11.5,65.3,76603,50047,7436,14.86,Con,Lab,53.05,38.19,4.51,1.54,2.71,0,0,0
Basildon and Billericay,Basildon & Billericay,E14001077,33,EE,England,Borough,9.7,60.9,76993,46853,20749,44.29,Con,Lab,65.88,21.6,8.42,2.98,0,0,0,1.12
South Basildon and East Thurrock,Basildon South & East Thurrock,E14001480,34,EE,England,County,20.7,61,73322,44729,18731,41.88,Con,Lab,65.44,23.56,4.1,0.15,0,0,0,6.74
Basingstoke,Basingstoke,E14001078,35,SE,England,Borough,21.1,66.4,77050,51181,12301,24.03,Con,Lab,52.69,28.65,13.28,3.92,0,0,0,1.46
Bassetlaw,Bassetlaw,E14001079,36,EM,England,County,4.3,62.9,75773,47677,12588,26.4,Con,Lab,54.41,28.01,6.73,0,10.85,0,0,0
Bath,Bath,E14001080,37,SW,England,County,8.5,77.7,73241,56876,12125,21.32,LD,Con,32.09,12.52,53.41,0.26,1.13,0,0,0.6
Bathgate and Linlithgow,Bathgate & Linlithgow,S14000068,38,SC,Scotland,County,37.3,65.9,71650,47217,8671,18.36,SNP,Con,24.64,18.79,8.22,2.18,1.91,43.01,0,1.25
Battersea,Battersea,E14001081,39,GL,England,Borough,9.3,76.3,71949,54918,6026,10.97,Lab,Con,35.38,46.35,15.14,2.48,0.64,0,0,0
Beaconsfield,Beaconsfield,E14001082,40,SE,England,County,7.9,72.8,72315,52633,13772,26.17,Con,Other,55.5,9.9,0,3.68,0,0,0,30.92
Beckenham and Penge,Beckenham & Penge,E14001083,41,GL,England,Borough,84,78.5,76625,60142,631,1.05,Lab,Con,39.05,40.1,16.06,4.02,0.77,0,0,0
Bedford,Bedford,E14001084,42,EE,England,Borough,3.3,66.5,70068,46603,1113,2.39,Lab,Con,41.95,44.34,10.03,1.98,1.7,0,0,0
Mid Bedfordshire,Bedfordshire Mid,E14001359,43,EE,England,County,19.3,71.5,71748,51325,20509,39.96,Con,Lab,60.47,20.51,12.51,3.89,0,0,0,2.63
North Bedfordshire,Bedfordshire North,E14001384,44,EE,England,County,28.2,73.6,76319,"56,202","23,631",42.05,Con,Lab,61.14,19.09,13.17,2.82,0.18,0,0,3.6
Belfast East,Belfast East,N05000001,45,NI,Northern Ireland,Borough,14.8,64.4,70076,45126,2626,5.82,DUP,All,0,,,0,,,,0
Belfast North,Belfast North,N05000002,46,NI,Northern Ireland,Borough,14.4,67.4,71372,48140,3739,7.77,SF,DUP,0.01,,,0,,,,0.12
Belfast South and Mid Down,Belfast South & Mid Down,N05000003,47,NI,Northern Ireland,Borough,22.3,66.2,71978,47669,13322,27.95,SDLP,DUP,0.35,,,0.15,,,,1.19
Belfast West,Belfast West,N05000004,48,NI,Northern Ireland,Borough,17.5,59.6,71921,42899,12997,30.3,SF,DUP,0.1,,,0,,,,14.12
Bermondsey and Old Southwark,Bermondsey & Old Southwark,E14001085,49,GL,England,Borough,25.3,65,70602,45885,8515,18.56,Lab,LD,16.8,49.64,31.08,0.05,2.43,0,0,0
"Berwickshire, Roxburgh and Selkirk","Berwickshire, Roxburgh & Selkirk",S14000008,50,SC,Scotland,County,none,71.2,74687,53146,5148,9.69,Con,SNP,48.45,4.73,8.07,0,0,38.76,0,0
Bethnal Green and Stepney,Bethnal Green & Stepney,E14001086,51,GL,England,Borough,35.8,64.9,77000,49951,31655,63.37,Lab,Con,10.14,73.51,9.28,4.21,1.99,0,0,0.88
Beverley and Holderness,Beverley & Holderness,E14001087,52,YH,England,County,10.6,69.6,71102,49483,17976,36.33,Con,Lab,60.99,24.66,9.25,2.49,0,0,0,2.6
Bexhill and Battle,Bexhill & Battle,E14001088,53,SE,England,County,26.1,70.2,70869,49737,20384,40.98,Con,Lab,61.76,20.77,13.39,4.08,0,0,0,0
Bexleyheath and Crayford,Bexleyheath & Crayford,E14001089,54,GL,England,Borough,33.1,67.6,69948,47300,15038,31.79,Con,Lab,60.78,28.99,5.99,2.26,0.88,0,0,1.1
Bicester and Woodstock,Bicester & Woodstock,E14001090,55,SE,England,County,99.7,73.9,70389,51991,14205,27.32,Con,LD,53.91,16.85,26.59,2.36,0.29,0,0,0
Birkenhead,Birkenhead,E14001091,56,NW,England,Borough,18.7,67.9,76271,51762,22993,44.42,Lab,Con,15.58,60,3.98,3,3.37,0,0,14.07
Birmingham Edgbaston,Birmingham Edgbaston,E14001092,57,WM,England,Borough,13.6,63.9,71354,45599,7691,16.87,Lab,Con,35.45,52.32,7.25,2.57,2.4,0,0,0
